timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1651770200584,6,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-1,text,true,,153,180,1,1,http://localhost:8080/v1/user/1,6,0,1
1651770200590,2,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-1,text,true,,159,179,1,1,http://localhost:8080/v1/pet/1,2,0,0
1651770200592,1,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-1,text,true,,159,187,1,1,http://localhost:8080/v1/store/order/1,1,0,0
1651770200594,4,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-2,text,true,,153,180,1,1,http://localhost:8080/v1/user/2,4,0,0
1651770200598,2,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-2,text,true,,159,179,1,1,http://localhost:8080/v1/pet/2,2,0,0
1651770200600,1,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-2,text,true,,159,187,1,1,http://localhost:8080/v1/store/order/2,1,0,0
1651770200604,4,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-3,text,true,,153,180,1,1,http://localhost:8080/v1/user/3,4,0,0
1651770200608,1,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-3,text,true,,159,179,1,1,http://localhost:8080/v1/pet/3,1,0,0
1651770200610,1,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-3,text,true,,159,187,1,1,http://localhost:8080/v1/store/order/3,1,0,0
1651770200614,4,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-4,text,true,,153,180,1,1,http://localhost:8080/v1/user/4,4,0,0
1651770200618,2,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-4,text,true,,159,179,1,1,http://localhost:8080/v1/pet/4,2,0,0
1651770200620,1,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-4,text,true,,159,187,1,1,http://localhost:8080/v1/store/order/4,1,0,0
1651770200624,4,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-5,text,true,,153,180,1,1,http://localhost:8080/v1/user/5,4,0,0
1651770200628,1,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-5,text,true,,159,179,1,1,http://localhost:8080/v1/pet/5,1,0,0
1651770200629,2,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-5,text,true,,159,187,1,1,http://localhost:8080/v1/store/order/5,2,0,0
1651770200634,4,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-6,text,true,,153,180,1,1,http://localhost:8080/v1/user/6,4,0,0
1651770200638,2,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-6,text,true,,159,179,1,1,http://localhost:8080/v1/pet/6,2,0,0
1651770200640,1,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-6,text,true,,159,187,1,1,http://localhost:8080/v1/store/order/6,1,0,0
1651770200643,4,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-7,text,true,,153,180,1,1,http://localhost:8080/v1/user/7,4,0,1
1651770200647,2,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-7,text,true,,159,179,1,1,http://localhost:8080/v1/pet/7,2,0,0
1651770200649,1,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-7,text,true,,159,187,1,1,http://localhost:8080/v1/store/order/7,1,0,0
1651770200654,3,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-8,text,true,,153,180,1,1,http://localhost:8080/v1/user/8,3,0,0
1651770200657,2,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-8,text,true,,159,179,1,1,http://localhost:8080/v1/pet/8,2,0,0
1651770200659,1,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-8,text,true,,159,187,1,1,http://localhost:8080/v1/store/order/8,1,0,0
1651770200664,4,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-9,text,true,,153,180,1,1,http://localhost:8080/v1/user/9,4,0,0
1651770200668,1,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-9,text,true,,159,179,1,1,http://localhost:8080/v1/pet/9,1,0,0
1651770200669,2,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-9,text,true,,159,187,1,1,http://localhost:8080/v1/store/order/9,2,0,0
1651770200674,4,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-10,text,true,,154,181,1,1,http://localhost:8080/v1/user/10,4,0,0
1651770200678,2,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-10,text,true,,159,180,1,1,http://localhost:8080/v1/pet/10,2,0,0
1651770200680,1,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-10,text,true,,159,188,1,1,http://localhost:8080/v1/store/order/10,1,0,0
1651770200684,4,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-11,text,true,,154,181,1,1,http://localhost:8080/v1/user/11,4,0,1
1651770200688,2,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-11,text,true,,159,180,1,1,http://localhost:8080/v1/pet/11,2,0,0
1651770200690,1,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-11,text,true,,159,188,1,1,http://localhost:8080/v1/store/order/11,1,0,0
1651770200694,5,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-12,text,true,,154,181,1,1,http://localhost:8080/v1/user/12,5,0,1
1651770200699,2,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-12,text,true,,159,180,1,1,http://localhost:8080/v1/pet/12,2,0,0
1651770200701,1,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-12,text,true,,159,188,1,1,http://localhost:8080/v1/store/order/12,1,0,0
1651770200703,4,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-13,text,true,,154,181,1,1,http://localhost:8080/v1/user/13,4,0,1
1651770200707,2,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-13,text,true,,159,180,1,1,http://localhost:8080/v1/pet/13,2,0,0
1651770200709,1,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-13,text,true,,159,188,1,1,http://localhost:8080/v1/store/order/13,1,0,0
1651770200714,4,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-14,text,true,,154,181,1,1,http://localhost:8080/v1/user/14,4,0,0
1651770200718,2,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-14,text,true,,159,180,1,1,http://localhost:8080/v1/pet/14,2,0,0
1651770200720,1,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-14,text,true,,159,188,1,1,http://localhost:8080/v1/store/order/14,1,0,0
1651770200724,5,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-15,text,true,,154,181,1,1,http://localhost:8080/v1/user/15,5,0,0
1651770200729,2,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-15,text,true,,159,180,1,1,http://localhost:8080/v1/pet/15,2,0,0
1651770200731,2,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-15,text,true,,159,188,1,1,http://localhost:8080/v1/store/order/15,2,0,0
1651770200734,4,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-16,text,true,,154,181,1,1,http://localhost:8080/v1/user/16,4,0,0
1651770200738,1,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-16,text,true,,159,180,1,1,http://localhost:8080/v1/pet/16,1,0,0
1651770200740,1,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-16,text,true,,159,188,1,1,http://localhost:8080/v1/store/order/16,1,0,0
1651770200744,4,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-17,text,true,,154,181,1,1,http://localhost:8080/v1/user/17,4,0,0
1651770200748,1,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-17,text,true,,159,180,1,1,http://localhost:8080/v1/pet/17,1,0,0
1651770200749,2,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-17,text,true,,159,188,1,1,http://localhost:8080/v1/store/order/17,2,0,0
1651770200754,4,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-18,text,true,,154,181,1,1,http://localhost:8080/v1/user/18,4,0,0
1651770200758,1,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-18,text,true,,159,180,1,1,http://localhost:8080/v1/pet/18,1,0,0
1651770200759,2,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-18,text,true,,159,188,1,1,http://localhost:8080/v1/store/order/18,2,0,0
1651770200764,4,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-19,text,true,,154,181,1,1,http://localhost:8080/v1/user/19,4,0,0
1651770200768,2,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-19,text,true,,159,180,1,1,http://localhost:8080/v1/pet/19,2,0,0
1651770200770,1,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-19,text,true,,159,188,1,1,http://localhost:8080/v1/store/order/19,1,0,0
1651770200774,4,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-20,text,true,,154,181,1,1,http://localhost:8080/v1/user/20,4,0,1
1651770200778,2,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-20,text,true,,159,180,1,1,http://localhost:8080/v1/pet/20,2,0,0
1651770200780,1,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-20,text,true,,159,188,1,1,http://localhost:8080/v1/store/order/20,1,0,0
1651770200784,4,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-21,text,true,,154,181,1,1,http://localhost:8080/v1/user/21,4,0,1
1651770200788,1,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-21,text,true,,159,180,1,1,http://localhost:8080/v1/pet/21,1,0,0
1651770200789,2,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-21,text,true,,159,188,1,1,http://localhost:8080/v1/store/order/21,2,0,0
1651770200793,4,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-22,text,true,,154,181,1,1,http://localhost:8080/v1/user/22,4,0,1
1651770200797,1,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-22,text,true,,159,180,1,1,http://localhost:8080/v1/pet/22,1,0,0
1651770200798,2,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-22,text,true,,159,188,1,1,http://localhost:8080/v1/store/order/22,2,0,0
1651770200804,3,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-23,text,true,,154,181,1,1,http://localhost:8080/v1/user/23,3,0,0
1651770200807,2,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-23,text,true,,159,180,1,1,http://localhost:8080/v1/pet/23,2,0,0
1651770200809,1,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-23,text,true,,159,188,1,1,http://localhost:8080/v1/store/order/23,1,0,0
1651770200814,3,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-24,text,true,,154,181,1,1,http://localhost:8080/v1/user/24,3,0,0
1651770200817,2,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-24,text,true,,159,180,1,1,http://localhost:8080/v1/pet/24,2,0,0
1651770200819,1,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-24,text,true,,159,188,1,1,http://localhost:8080/v1/store/order/24,1,0,0
1651770200824,3,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-25,text,true,,154,181,1,1,http://localhost:8080/v1/user/25,3,0,0
1651770200827,1,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-25,text,true,,159,180,1,1,http://localhost:8080/v1/pet/25,1,0,0
1651770200828,2,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-25,text,true,,159,188,1,1,http://localhost:8080/v1/store/order/25,2,0,0
1651770200834,3,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-26,text,true,,154,181,1,1,http://localhost:8080/v1/user/26,3,0,0
1651770200837,1,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-26,text,true,,159,180,1,1,http://localhost:8080/v1/pet/26,1,0,0
1651770200839,1,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-26,text,true,,159,188,1,1,http://localhost:8080/v1/store/order/26,1,0,0
1651770200844,3,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-27,text,true,,154,181,1,1,http://localhost:8080/v1/user/27,3,0,0
1651770200847,1,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-27,text,true,,159,180,1,1,http://localhost:8080/v1/pet/27,1,0,0
1651770200849,1,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-27,text,true,,159,188,1,1,http://localhost:8080/v1/store/order/27,1,0,0
1651770200854,3,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-28,text,true,,154,181,1,1,http://localhost:8080/v1/user/28,3,0,0
1651770200857,2,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-28,text,true,,159,180,1,1,http://localhost:8080/v1/pet/28,2,0,0
1651770200859,1,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-28,text,true,,159,188,1,1,http://localhost:8080/v1/store/order/28,1,0,0
1651770200864,3,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-29,text,true,,154,181,1,1,http://localhost:8080/v1/user/29,3,0,0
1651770200867,2,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-29,text,true,,159,180,1,1,http://localhost:8080/v1/pet/29,2,0,0
1651770200869,1,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-29,text,true,,159,188,1,1,http://localhost:8080/v1/store/order/29,1,0,0
1651770200874,4,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-30,text,true,,154,181,1,1,http://localhost:8080/v1/user/30,4,0,0
1651770200878,1,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-30,text,true,,159,180,1,1,http://localhost:8080/v1/pet/30,1,0,0
1651770200880,1,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-30,text,true,,159,188,1,1,http://localhost:8080/v1/store/order/30,1,0,0
1651770200884,4,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-31,text,true,,154,181,1,1,http://localhost:8080/v1/user/31,4,0,0
1651770200888,2,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-31,text,true,,159,180,1,1,http://localhost:8080/v1/pet/31,2,0,0
1651770200890,1,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-31,text,true,,159,188,1,1,http://localhost:8080/v1/store/order/31,1,0,0
1651770200894,4,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-32,text,true,,154,181,1,1,http://localhost:8080/v1/user/32,4,0,1
1651770200898,2,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-32,text,true,,159,180,1,1,http://localhost:8080/v1/pet/32,2,0,0
1651770200900,1,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-32,text,true,,159,188,1,1,http://localhost:8080/v1/store/order/32,1,0,0
1651770200904,4,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-33,text,true,,154,181,1,1,http://localhost:8080/v1/user/33,4,0,1
1651770200908,2,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-33,text,true,,159,180,1,1,http://localhost:8080/v1/pet/33,2,0,0
