timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1653055803959,22,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-1,text,true,,153,180,3,3,http://localhost:8080/v1/user/1,22,0,2
1653055803969,12,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-2,text,true,,153,180,3,3,http://localhost:8080/v1/user/2,12,0,1
1653055803979,3,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-3,text,true,,153,180,3,3,http://localhost:8080/v1/user/3,3,0,0
1653055803991,3,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-4,text,true,,153,180,4,4,http://localhost:8080/v1/user/4,3,0,0
1653055803985,11,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-2,text,true,,159,179,4,4,http://localhost:8080/v1/pet/2,11,0,0
1653055803994,3,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-4,text,true,,159,179,4,4,http://localhost:8080/v1/pet/4,3,0,0
1653055803982,19,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-1,text,true,,159,179,5,5,http://localhost:8080/v1/pet/1,19,0,0
1653055803985,17,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-3,text,true,,159,179,5,5,http://localhost:8080/v1/pet/3,17,0,0
1653055803999,5,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-5,text,true,,153,180,5,5,http://localhost:8080/v1/user/5,5,0,0
1653055804005,5,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-5,text,true,,159,179,6,6,http://localhost:8080/v1/pet/5,5,0,0
1653055804001,12,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-1,text,true,,159,187,6,6,http://localhost:8080/v1/store/order/1,12,0,0
1653055804009,4,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-6,text,true,,153,180,6,6,http://localhost:8080/v1/user/6,4,0,0
1653055804002,11,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-3,text,true,,159,187,6,6,http://localhost:8080/v1/store/order/3,11,0,0
