zone,time_elapsed,power_j,watts,watts_since_last,start_power,prev_power,prev_power_reading,temp
package-0,0.000540514,0.0,0.0,0.0,676.527625,0.0,676.527625,27.799999237060547
dram,0.000862925,0.0,0.0,0.0,80.237282,0.0,80.237282,27.799999237060547
core,0.000994087,0.009460999999987507,25.381759258232123,0.0,424.363781,0.0,424.373242,27.799999237060547
uncore,0.001117711,0.0,0.0,0.0,0.383727,0.0,0.383727,27.799999237060547
package-0,1.002132007,2.251215000000002,2.247973054188282,2.248810086512524,676.527625,0.0,678.77884,27.799999237060547
dram,1.002778407,0.4665510000000097,0.4658791258962906,0.4660525958971158,80.237282,0.0,80.703833,27.799999237060547
core,1.003402461,0.6502669999999853,0.6493305588439207,0.640121443885963,424.363781,0.009460999999987507,425.014048,27.799999237060547
uncore,1.004026615,0.005554000000000003,0.0055460017559236735,0.005548066808585833,0.383727,0.0,0.389281,27.799999237060547
package-0,2.005049685,4.092519000000038,2.041753571398206,1.8358485575453123,676.527625,2.251215000000002,680.620144,27.799999237060547
dram,2.005696153,0.9160740000000089,0.4570283879354111,0.4481911466729142,80.237282,0.4665510000000097,81.153356,27.799999237060547
core,2.006197577,0.9000829999999951,0.4490504942810978,0.2490758414969764,424.363781,0.6502669999999853,425.263864,27.799999237060547
uncore,2.006622312,0.005554000000000003,0.0027708849575397293,0.0,0.383727,0.005554000000000003,0.389281,27.799999237060547
package-0,3.007509698,6.575362000000041,2.186690248019514,2.4764559872220944,676.527625,4.092519000000038,683.102987,27.799999237060547
dram,3.007981423,1.3936730000000068,0.4634773200362346,0.47637039596997416,80.237282,0.9160740000000089,81.630955,27.799999237060547
core,3.008402607,1.7754469999999856,0.5904393766876175,0.8731121616625197,424.363781,0.9000829999999951,426.139228,27.799999237060547
uncore,3.008817416,0.014647999999999994,0.004871311838494918,0.009070606054348857,0.383727,0.005554000000000003,0.398375,27.799999237060547
package-0,4.009708446,8.469888000000083,2.112618796504689,1.8903745409092527,676.527625,6.575362000000041,684.997513,27.799999237060547
dram,4.010224729,1.8430740000000014,0.45971242780885047,0.4484162313207262,80.237282,1.3936730000000068,82.080356,27.799999237060547
core,4.010651653,2.082636999999977,0.5194659094070718,0.3065168571040378,424.363781,1.7754469999999856,426.446418,27.799999237060547
uncore,4.011067746,0.014647999999999994,0.0036536067692040765,0.0,0.383727,0.014647999999999994,0.398375,27.799999237060547
package-0,5.011739576,10.942599000000087,2.1836082052599877,2.4676337694902646,676.527625,8.469888000000083,687.470224,27.799999237060547
dram,5.012187815,2.3195130000000006,0.4628614846442944,0.4754607252938852,80.237282,1.8430740000000014,82.556795,27.799999237060547
core,5.012999435,2.9567799999999806,0.5900288468167876,0.8723481175776441,424.363781,2.082636999999977,427.320561,27.799999237060547
uncore,5.013379377,0.021361999999999992,0.004262811648381109,0.006700214108465406,0.383727,0.014647999999999994,0.405089,27.799999237060547
package-0,6.014326037,12.818754000000013,2.131575015600794,1.8714743938824916,676.527625,10.942599000000087,689.346379,27.799999237060547
dram,6.014790981,2.7677540000000107,0.460237810611638,0.4471227344160445,80.237282,2.3195130000000006,83.005036,27.799999237060547
core,6.015212751,3.241995999999972,0.5390974562954906,0.2845044469809762,424.363781,2.9567799999999806,427.605777,27.799999237060547
uncore,6.015627673,0.021361999999999992,0.003552194346132557,0.0,0.383727,0.021361999999999992,0.405089,27.799999237060547
package-0,7.016477342,15.361472000000049,2.1894871044083586,2.5369682607991897,676.527625,12.818754000000013,691.889097,27.799999237060547
dram,7.016895255,3.2538980000000066,0.4637815770559059,0.4850447034149809,80.237282,2.7677540000000107,83.49118,27.799999237060547
core,7.017270531,4.184132999999974,0.5963689708010647,0.9400065859936251,424.363781,3.241995999999972,428.547914,27.799999237060547
uncore,7.01763755,0.029785000000000006,0.004245288043021057,0.00840395343121467,0.383727,0.021361999999999992,0.413512,27.799999237060547
