timeStamp,elapsed,label,success,bytes,sentBytes,grpThreads,allThreads,Latency
1650904087092,4,[USER] DELETE USER [ITERATE 1000],true,153,182,1,1,4
1650904087096,2,[PET] DELETE PET [ITERATE 1000],true,159,181,1,1,2
1650904087098,2,[STORE] DELETE ORDER [ITERATE 1000],true,159,189,1,1,2
1650904087102,2,[USER] DELETE USER [ITERATE 1000],true,153,182,1,1,2
1650904087106,2,[PET] DELETE PET [ITERATE 1000],true,159,181,1,1,2
1650904087108,2,[STORE] DELETE ORDER [ITERATE 1000],true,159,189,1,1,2
1650904087112,2,[USER] DELETE USER [ITERATE 1000],true,153,182,1,1,2
1650904087114,2,[PET] DELETE PET [ITERATE 1000],true,159,181,1,1,2
1650904087116,1,[STORE] DELETE ORDER [ITERATE 1000],true,159,189,1,1,1
1650904087123,1,[USER] DELETE USER [ITERATE 1000],true,153,182,1,1,1
1650904087124,2,[PET] DELETE PET [ITERATE 1000],true,159,181,1,1,2
1650904087126,1,[STORE] DELETE ORDER [ITERATE 1000],true,159,189,1,1,1
1650904087133,1,[USER] DELETE USER [ITERATE 1000],true,153,182,1,1,1
1650904087134,2,[PET] DELETE PET [ITERATE 1000],true,159,181,1,1,2
1650904087136,1,[STORE] DELETE ORDER [ITERATE 1000],true,159,189,1,1,1
1650904087142,1,[USER] DELETE USER [ITERATE 1000],true,153,182,1,1,1
1650904087143,2,[PET] DELETE PET [ITERATE 1000],true,159,181,1,1,2
1650904087145,2,[STORE] DELETE ORDER [ITERATE 1000],true,159,189,1,1,2
1650904087152,1,[USER] DELETE USER [ITERATE 1000],true,153,182,1,1,1
1650904087153,2,[PET] DELETE PET [ITERATE 1000],true,159,181,1,1,2
1650904087155,1,[STORE] DELETE ORDER [ITERATE 1000],true,159,189,1,1,1
1650904087162,1,[USER] DELETE USER [ITERATE 1000],true,153,182,1,1,1
1650904087163,2,[PET] DELETE PET [ITERATE 1000],true,159,181,1,1,2
1650904087165,2,[STORE] DELETE ORDER [ITERATE 1000],true,159,189,1,1,2
1650904087172,1,[USER] DELETE USER [ITERATE 1000],true,153,182,1,1,1
1650904087173,2,[PET] DELETE PET [ITERATE 1000],true,159,181,1,1,2
1650904087175,2,[STORE] DELETE ORDER [ITERATE 1000],true,159,189,1,1,2
1650904087182,1,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,1
1650904087184,1,[PET] DELETE PET [ITERATE 1000],true,159,182,1,1,1
1650904087185,2,[STORE] DELETE ORDER [ITERATE 1000],true,159,190,1,1,2
1650904087192,2,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,2
1650904087194,1,[PET] DELETE PET [ITERATE 1000],true,159,182,1,1,1
1650904087196,1,[STORE] DELETE ORDER [ITERATE 1000],true,159,190,1,1,1
1650904087203,1,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,1
1650904087204,2,[PET] DELETE PET [ITERATE 1000],true,159,182,1,1,2
1650904087206,2,[STORE] DELETE ORDER [ITERATE 1000],true,159,190,1,1,2
1650904087212,1,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,1
1650904087213,2,[PET] DELETE PET [ITERATE 1000],true,159,182,1,1,2
1650904087215,2,[STORE] DELETE ORDER [ITERATE 1000],true,159,190,1,1,2
1650904087222,2,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,2
1650904087224,1,[PET] DELETE PET [ITERATE 1000],true,159,182,1,1,1
1650904087226,1,[STORE] DELETE ORDER [ITERATE 1000],true,159,190,1,1,1
1650904087232,2,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,2
1650904087234,2,[PET] DELETE PET [ITERATE 1000],true,159,182,1,1,2
1650904087236,1,[STORE] DELETE ORDER [ITERATE 1000],true,159,190,1,1,1
1650904087246,2,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,2
1650904087248,1,[PET] DELETE PET [ITERATE 1000],true,159,182,1,1,1
1650904087249,2,[STORE] DELETE ORDER [ITERATE 1000],true,159,190,1,1,2
1650904087252,2,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,2
1650904087254,1,[PET] DELETE PET [ITERATE 1000],true,159,182,1,1,1
1650904087255,2,[STORE] DELETE ORDER [ITERATE 1000],true,159,190,1,1,2
1650904087262,2,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,2
1650904087264,1,[PET] DELETE PET [ITERATE 1000],true,159,182,1,1,1
1650904087266,1,[STORE] DELETE ORDER [ITERATE 1000],true,159,190,1,1,1
1650904087273,1,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,1
1650904087274,2,[PET] DELETE PET [ITERATE 1000],true,159,182,1,1,2
1650904087276,2,[STORE] DELETE ORDER [ITERATE 1000],true,159,190,1,1,2
1650904087283,1,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,1
1650904087284,2,[PET] DELETE PET [ITERATE 1000],true,159,182,1,1,2
1650904087286,1,[STORE] DELETE ORDER [ITERATE 1000],true,159,190,1,1,1
1650904087292,1,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,1
1650904087293,2,[PET] DELETE PET [ITERATE 1000],true,159,182,1,1,2
1650904087295,2,[STORE] DELETE ORDER [ITERATE 1000],true,159,190,1,1,2
1650904087310,1,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,1
1650904087311,2,[PET] DELETE PET [ITERATE 1000],true,159,182,2,2,2
1650904087313,1,[USER] DELETE USER [ITERATE 1000],true,154,183,2,2,1
1650904087313,1,[STORE] DELETE ORDER [ITERATE 1000],true,159,190,2,2,1
1650904087314,2,[PET] DELETE PET [ITERATE 1000],true,159,182,1,1,2
1650904087316,1,[STORE] DELETE ORDER [ITERATE 1000],true,159,190,1,1,1
1650904087322,1,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,1
1650904087323,2,[PET] DELETE PET [ITERATE 1000],true,159,182,1,1,2
1650904087325,2,[STORE] DELETE ORDER [ITERATE 1000],true,159,190,1,1,2
1650904087332,1,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,1
1650904087333,2,[PET] DELETE PET [ITERATE 1000],true,159,182,1,1,2
1650904087335,2,[STORE] DELETE ORDER [ITERATE 1000],true,159,190,1,1,2
1650904087346,1,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,1
1650904087347,2,[PET] DELETE PET [ITERATE 1000],true,159,182,1,1,2
1650904087349,2,[STORE] DELETE ORDER [ITERATE 1000],true,159,190,1,1,2
1650904087353,1,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,1
1650904087354,2,[PET] DELETE PET [ITERATE 1000],true,159,182,1,1,2
1650904087356,1,[STORE] DELETE ORDER [ITERATE 1000],true,159,190,1,1,1
1650904087366,1,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,1
1650904087368,1,[PET] DELETE PET [ITERATE 1000],true,159,182,1,1,1
1650904087369,2,[STORE] DELETE ORDER [ITERATE 1000],true,159,190,1,1,2
1650904087376,2,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,2
1650904087378,2,[PET] DELETE PET [ITERATE 1000],true,159,182,1,1,2
1650904087380,1,[STORE] DELETE ORDER [ITERATE 1000],true,159,190,1,1,1
1650904087386,2,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,2
1650904087388,2,[PET] DELETE PET [ITERATE 1000],true,159,182,1,1,2
1650904087390,2,[STORE] DELETE ORDER [ITERATE 1000],true,159,190,1,1,2
1650904087392,2,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,2
