timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1655813619428,8900,[PET] GET PET BY ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Clients 1-90,text,false,,2446,0,150,150,http://192.168.0.198:8080/v1/pet/47,0,0,8900
1655813620000,8329,[PET] GET PET BY ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Clients 1-3,text,false,,2446,0,150,150,http://192.168.0.198:8080/v1/pet/53,0,0,8329
1655813619605,8725,[PET] GET PET BY ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Clients 1-58,text,false,,2446,0,150,150,http://192.168.0.198:8080/v1/pet/79,0,0,8725
1655813619759,8571,[PET] GET PET BY ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Clients 1-32,text,false,,2446,0,150,150,http://192.168.0.198:8080/v1/pet/73,0,0,8571
1655813619680,8651,[PET] GET PET BY ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Clients 1-53,text,false,,2446,0,146,146,http://192.168.0.198:8080/v1/pet/38,0,0,8651
1655813619529,8802,[PET] GET PET BY ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Clients 1-70,text,false,,2446,0,145,145,http://192.168.0.198:8080/v1/pet/27,0,0,8802
1655813619838,8493,[PET] GET PET BY ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Clients 1-29,text,false,,2446,0,145,145,http://192.168.0.198:8080/v1/pet/90,0,0,8493
1655813619105,9225,[PET] GET PET BY ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Clients 1-145,text,false,,2446,0,143,143,http://192.168.0.198:8080/v1/pet/12,0,0,9225
1655813619358,8972,[PET] GET PET BY ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Clients 1-93,text,false,,2446,0,142,142,http://192.168.0.198:8080/v1/pet/23,0,0,8972
1655813619389,8942,[PET] GET PET BY ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Clients 1-100,text,false,,2446,0,141,141,http://192.168.0.198:8080/v1/pet/59,0,0,8942
