zone,time_elapsed,power_j,watts,watts_since_last,start_power,prev_power,prev_power_reading,temp
package-0,0.000504163,0.0,0.0,0.0,623.113456,0.0,623.113456,27.799999237060547
dram,0.000667142,0.0,0.0,0.0,75.444936,0.0,75.444936,27.799999237060547
core,0.000779781,0.007262999999966269,21.908180501828753,0.0,386.434923,0.0,386.442186,27.799999237060547
uncore,0.000886938,0.0004270000000000107,1.288006756756789,0.0,0.395384,0.0,0.395811,27.799999237060547
package-0,1.001099739,13.543665999999916,13.530651623919358,13.53513447989401,623.113456,0.0,636.657122,27.799999237060547
dram,1.001201967,0.6702250000000021,0.6695809675638366,0.6698028072153468,75.444936,0.0,76.115161,27.799999237060547
core,1.001287556,11.931426999999985,11.919961856208362,11.916652647836424,386.434923,0.007262999999966269,398.36635,27.799999237060547
uncore,1.001384577,0.0035399999999999876,0.0035365983441023024,0.003111039037429748,0.395384,0.0004270000000000107,0.398924,27.799999237060547
package-0,2.001607281,42.67597699999999,21.322423013926503,29.1178054702024,623.113456,13.543665999999916,665.789433,27.799999237060547
dram,2.00172284,1.6970780000000047,0.8479200137264221,1.0263417104291435,75.444936,0.6702250000000021,77.142014,27.799999237060547
core,2.001823864,39.380514999999946,19.675893989170465,27.435420578836464,386.434923,11.931426999999985,425.815438,27.799999237060547
uncore,2.001930789,0.0035399999999999876,0.0017687088328241338,0.0,0.395384,0.0035399999999999876,0.398924,27.799999237060547
package-0,3.002227138,75.486806,25.145413218423506,32.79276195896977,623.113456,42.67597699999999,698.600262,27.799999237060547
dram,3.002394937,3.005240999999998,1.0010759597637264,1.3074426696908978,75.444936,1.6970780000000047,78.450177,27.799999237060547
core,3.002507755,70.25513099999995,23.402689732421237,30.857615120379894,386.434923,39.380514999999946,456.690054,27.799999237060547
uncore,3.002661744,0.13934299999999994,0.0464165527694308,0.13572822107950908,0.395384,0.0035399999999999876,0.534727,27.799999237060547
package-0,4.002975249,111.71474,27.90931788006616,36.20024935250419,623.113456,75.486806,734.828196,27.799999237060547
dram,4.003097556,4.073048,1.0175558871888142,1.0669910036920545,75.444936,3.005240999999998,79.517984,27.799999237060547
core,4.003234492,104.76315999999997,26.172628021693743,34.48165866878985,386.434923,70.25513099999995,491.198083,27.799999237060547
uncore,4.0033594,0.15740899999999997,0.03932496121982947,0.018052194331654173,0.395384,0.13934299999999994,0.552793,27.799999237060547
package-0,5.003682231,147.27861399999995,29.435446598819556,35.54011685348806,623.113456,111.71474,770.39207,27.799999237060547
dram,5.003866915,5.140428,1.0273779049080192,1.0666669757933611,75.444936,4.073048,80.585364,27.799999237060547
core,5.004727066,138.59656899999993,27.700232876845984,33.81080782739966,386.434923,104.76315999999997,525.031492,27.799999237060547
uncore,5.004899147,0.175842,0.03514419140873793,0.018420686507896963,0.395384,0.15740899999999997,0.571226,27.799999237060547
package-0,6.005347034,165.624637,27.581189985605388,18.31779536892552,623.113456,147.27861399999995,788.738093,27.799999237060547
dram,6.005644476,6.259200000000007,1.0423339636234277,1.1170506305635617,75.444936,5.140428,81.704136,27.799999237060547
core,6.005929922,155.085419,25.826111881146133,16.463479859853436,386.434923,138.59656899999993,541.520342,27.799999237060547
uncore,6.006204082,0.264526,0.04405106628026753,0.08854754867023688,0.395384,0.175842,0.65991,27.799999237060547
package-0,7.006563976,184.39973499999996,26.319105204184613,18.750310558199782,623.113456,165.624637,807.513191,27.799999237060547
dram,7.006734717,7.489970999999997,1.0690326356775501,1.2291460995849912,75.444936,6.259200000000007,82.934907,27.799999237060547
core,7.006932928,172.11082699999997,24.56512729040645,17.002930550884965,386.434923,155.085419,558.54575,27.799999237060547
uncore,7.007125982,0.28271399999999997,0.04035135684276254,0.018163987662409967,0.395384,0.264526,0.678098,27.799999237060547
package-0,8.007910612,199.388283,24.901032542226144,14.974735678178876,623.113456,184.39973499999996,822.501739,27.799999237060547
dram,8.008496033,8.611123000000006,1.0754185292227636,1.1201188303938248,75.444936,7.489970999999997,84.056059,27.799999237060547
core,8.008867348,185.299941,23.141579793400318,13.176959901610768,386.434923,172.11082699999997,571.734864,27.799999237060547
uncore,8.009359948,0.326721,0.04080325147906844,0.04396644644895666,0.395384,0.28271399999999997,0.722105,27.799999237060547
package-0,9.010301061,216.28374799999995,24.00614663824837,16.85693205928733,623.113456,199.388283,839.397204,27.799999237060547
dram,9.01094684,9.724157000000005,1.0793207581891429,1.1104955393460232,75.444936,8.611123000000006,85.169093,27.799999237060547
core,9.01139611,200.44540999999992,22.2481899353058,15.110927218578604,386.434923,185.299941,586.880333,27.799999237060547
uncore,9.011871194,0.35205000000000003,0.039075353567459635,0.0252712329687103,0.395384,0.326721,0.747434,27.799999237060547
package-0,10.012550062,220.64335599999993,22.03772296915369,4.348473572524011,623.113456,216.28374799999995,843.756812,27.799999237060547
dram,10.013000419,10.614597000000003,1.0601794332534085,0.8881658185594414,75.444936,9.724157000000005,86.059533,27.799999237060547
core,10.013390065,203.15560800000003,20.29105743267423,2.703276161367705,386.434923,200.44540999999992,589.590531,27.799999237060547
uncore,10.013765693,0.35205000000000003,0.035162537916122706,0.0,0.395384,0.35205000000000003,0.747434,27.799999237060547
package-0,11.014630056,225.57241999999997,20.480696010539972,4.920069768059144,623.113456,220.64335599999993,848.685876,27.799999237060547
dram,11.015229156,11.514618999999996,1.0454620800547678,0.8983796990235987,75.444936,10.614597000000003,86.959555,27.799999237060547
core,11.015858823,206.440024,18.743582996328083,3.278422813607094,386.434923,203.15560800000003,592.874947,27.799999237060547
uncore,11.016439008,0.35205000000000003,0.03196414273744369,0.0,0.395384,0.35205000000000003,0.747434,27.799999237060547
package-0,12.017136718,229.69209999999998,19.114551772316595,4.108565283224746,623.113456,225.57241999999997,852.805556,27.799999237060547
dram,12.017759602,12.378447000000008,1.030111466795668,0.8614974297706381,75.444936,11.514618999999996,87.823383,27.799999237060547
core,12.018344257,208.92488100000003,17.386342213770455,2.4781529643025895,386.434923,206.440024,595.359804,27.799999237060547
uncore,12.01888643,0.35205000000000003,0.029296949923153903,0.0,0.395384,0.35205000000000003,0.747434,27.799999237060547
package-0,13.019747052,235.0871659999999,18.057140061472403,5.381824107891648,623.113456,229.69209999999998,858.200622,27.799999237060547
dram,13.020206405,13.299282000000005,1.0215232157378553,0.9185748612510862,75.444936,12.378447000000008,88.744218,27.799999237060547
core,13.020607752,212.62744699999996,16.33199998417736,3.693478255847074,386.434923,208.92488100000003,599.06237,27.799999237060547
uncore,13.021136813,0.37719699999999995,0.02897265374226004,0.025085278074661665,0.395384,0.35205000000000003,0.772581,27.799999237060547
package-0,14.021841278,240.58452799999998,17.158436973267342,5.484830380213623,623.113456,235.0871659999999,863.697984,27.799999237060547
dram,14.022341146,14.214928999999998,1.013805689640899,0.9135597188526721,75.444936,13.299282000000005,89.659865,27.799999237060547
core,14.022813054,216.42577699999993,15.435440029813188,3.7896714420619135,386.434923,212.62744699999996,602.8607,27.799999237060547
uncore,14.02334749,0.41668599999999995,0.02971795621305654,0.039398982072538266,0.395384,0.37719699999999995,0.81207,27.799999237060547
package-0,15.023978159,245.94272899999999,16.370534749129934,5.346729693031474,623.113456,240.58452799999998,869.056185,27.799999237060547
dram,15.024390495,15.118797,1.0063431948563173,0.9019329200567466,75.444936,14.214928999999998,90.563733,27.799999237060547
core,15.024759346,220.13578899999993,14.65276325917175,3.7020692806975863,386.434923,216.42577699999993,606.570712,27.799999237060547
uncore,15.025122515,0.41668599999999995,0.0277356141822593,0.0,0.395384,0.41668599999999995,0.81207,27.799999237060547
package-0,16.026067082,250.52249099999995,15.632951337050553,4.571604538579827,623.113456,245.94272899999999,873.635947,27.799999237060547
dram,16.026507999,15.993733000000006,0.9980311495736313,0.8733775660322389,75.444936,15.118797,91.438669,27.799999237060547
core,16.027111029,223.07242699999995,13.920029223758444,2.9314072672261524,386.434923,220.13578899999993,609.50735,27.799999237060547
uncore,16.027491445,0.41668599999999995,0.026001785048633607,0.0,0.395384,0.41668599999999995,0.81207,27.799999237060547
package-0,17.028138988,255.11574099999996,14.982463830651879,4.582534672921922,623.113456,250.52249099999995,878.229197,27.799999237060547
dram,17.028591047,16.890704,0.9919590251949489,0.8948785082687442,75.444936,15.993733000000006,92.33564,27.799999237060547
core,17.029037097,226.008333,13.273040939478626,2.9290569948162375,386.434923,223.07242699999995,612.443256,27.799999237060547
uncore,17.029477035,0.426696,0.025059047166689084,0.00998664825035621,0.395384,0.41668599999999995,0.82208,27.799999237060547
package-0,18.030381244,259.5871649999999,14.39782446306758,4.46255392436622,623.113456,255.11574099999996,882.700621,27.799999237060547
dram,18.031163695,17.760269000000008,0.9850611661746104,0.8678400221588443,75.444936,16.890704,93.205205,27.799999237060547
core,18.031812274,228.84139399999992,12.692531314850203,2.8274409860301093,386.434923,226.008333,615.276317,27.799999237060547
uncore,18.032228205,0.426696,0.023666401638513548,0.0,0.395384,0.426696,0.82208,27.799999237060547
package-0,19.032904329,267.612718,14.060876941732687,8.002952286603932,623.113456,259.5871649999999,890.726174,27.799999237060547
dram,19.033376781,18.736402,0.9844458993642977,0.9733841175031078,75.444936,17.760269000000008,94.181338,27.799999237060547
core,19.033837729,235.15082699999994,12.355267962988483,6.291665042212547,386.434923,228.84139399999992,621.58575,27.799999237060547
uncore,19.034281994,0.456969,0.024010013138413867,0.0301877483797514,0.395384,0.426696,0.852353,27.799999237060547
package-0,20.034689016,272.0937849999999,13.581300922917633,4.472089039759814,623.113456,267.612718,895.207241,27.799999237060547
dram,20.034848919,19.63105300000001,0.9798652263473977,0.8928585382700721,75.444936,18.736402,95.075989,27.799999237060547
core,20.034983675,237.95324900000003,11.877208736153053,2.7968072584012598,386.434923,235.15082699999994,624.388172,27.799999237060547
uncore,20.035115782,0.490539,0.024484784808396467,0.03350274143741634,0.395384,0.456969,0.885923,27.799999237060547
package-0,21.035665356,278.69813899999997,13.249085931507077,6.598870318968384,623.113456,272.0937849999999,901.811595,27.799999237060547
dram,21.036057091,20.599311999999998,0.9792747658710592,0.967455041957757,75.444936,19.63105300000001,96.044248,27.799999237060547
core,21.03643736,242.83446200000003,11.544155499973721,4.877160065354213,386.434923,237.95324900000003,629.269385,27.799999237060547
uncore,21.03681467,0.532897,0.025333495842404342,0.04232282960163251,0.395384,0.490539,0.928281,27.799999237060547
package-0,22.037665558,283.087043,12.84602021081936,4.381577082986085,623.113456,278.69813899999997,906.200499,27.799999237060547
dram,22.038400504,21.479192999999995,0.9746901322858837,0.8784121104847239,75.444936,20.599311999999998,96.924129,27.799999237060547
core,22.039210108,245.55936899999995,11.14307664420391,2.7203579901651826,386.434923,242.83446200000003,631.994292,27.799999237060547
uncore,22.039725547,0.556945,0.025273239815199838,0.024007853826752436,0.395384,0.532897,0.952329,27.799999237060547
package-0,23.04025711,288.1993349999999,12.508687014004703,5.097052963572798,623.113456,283.087043,911.312791,27.799999237060547
dram,23.040560032,22.376650999999995,0.9712115532140815,0.8947828016439979,75.444936,21.479192999999995,97.821587,27.799999237060547
core,23.040862011,249.01102100000003,10.807800527113478,3.441363102072944,386.434923,245.55936899999995,635.445944,27.799999237060547
uncore,23.041110387,0.563231,0.024445858959337593,0.006267262302117962,0.395384,0.556945,0.958615,27.799999237060547
package-0,24.041811773,292.475996,12.165578443252206,4.270945014906963,623.113456,288.1993349999999,915.589452,27.799999237060547
dram,24.04270471,23.227418,0.9661475798964654,0.8496299046142036,75.444936,22.376650999999995,98.672354,27.799999237060547
core,24.043337805,251.65456799999993,10.467605647906728,2.640013758706045,386.434923,249.01102100000003,638.089491,27.799999237060547
uncore,24.043905833,0.563231,0.023427669298958072,0.0,0.395384,0.563231,0.958615,27.799999237060547
package-0,25.044282124,297.1488969999999,11.865030848281123,4.659777068730005,623.113456,292.475996,920.262353,27.799999237060547
dram,25.044444782,24.112792,0.9628136728980903,0.8828874102939122,75.444936,23.227418,99.557728,27.799999237060547
core,25.044580608,254.67323799999997,10.168995596512817,3.0101920079333313,386.434923,251.65456799999993,641.108161,27.799999237060547
uncore,25.044718983,0.571288,0.022811290271263662,0.008034371762371657,0.395384,0.563231,0.966672,27.799999237060547
package-0,26.04531613,302.6855039999999,11.621718893007763,5.532601197559328,623.113456,297.1488969999999,925.79896,27.799999237060547
dram,26.045746643,24.986812999999998,0.9593776803997592,0.8733886351861334,75.444936,24.112792,100.431749,27.799999237060547
core,26.046126793,258.569651,9.92787483534436,3.8935938978486293,386.434923,254.67323799999997,645.004574,27.799999237060547
uncore,26.046493698,0.571288,0.021934808423956176,0.0,0.395384,0.571288,0.966672,27.799999237060547
package-0,27.04728524,306.8989939999999,11.347015147401304,4.205675858460634,623.113456,302.6855039999999,930.01245,27.799999237060547
