timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1652796529273,17,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-1,text,true,,153,180,2,2,http://localhost:8080/v1/user/1,17,0,1
1652796529282,8,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-2,text,true,,153,180,2,2,http://localhost:8080/v1/user/2,8,0,0
1652796529292,5,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-3,text,true,,153,180,3,3,http://localhost:8080/v1/user/3,5,0,0
1652796529291,6,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-1,text,true,,159,179,3,3,http://localhost:8080/v1/pet/1,6,0,0
1652796529291,6,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-2,text,true,,159,179,3,3,http://localhost:8080/v1/pet/2,6,0,0
1652796529297,2,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-3,text,true,,159,179,3,3,http://localhost:8080/v1/pet/3,2,0,0
1652796529298,6,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-2,text,true,,159,187,4,4,http://localhost:8080/v1/store/order/2,6,0,0
1652796529299,6,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-3,text,true,,159,187,3,3,http://localhost:8080/v1/store/order/3,6,0,0
1652796529297,8,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-1,text,true,,159,187,3,3,http://localhost:8080/v1/store/order/1,8,0,0
1652796529302,5,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-4,text,true,,153,180,1,1,http://localhost:8080/v1/user/4,5,0,0
1652796529307,1,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-4,text,true,,159,179,1,1,http://localhost:8080/v1/pet/4,1,0,0
1652796529309,1,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-4,text,true,,159,187,1,1,http://localhost:8080/v1/store/order/4,1,0,0
1652796529312,4,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-5,text,true,,153,180,1,1,http://localhost:8080/v1/user/5,4,0,0
1652796529316,2,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-5,text,true,,159,179,1,1,http://localhost:8080/v1/pet/5,2,0,0
1652796529318,2,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-5,text,true,,159,187,1,1,http://localhost:8080/v1/store/order/5,2,0,0
1652796529322,5,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-6,text,true,,153,180,1,1,http://localhost:8080/v1/user/6,5,0,0
1652796529327,2,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-6,text,true,,159,179,1,1,http://localhost:8080/v1/pet/6,2,0,0
1652796529329,2,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-6,text,true,,159,187,1,1,http://localhost:8080/v1/store/order/6,2,0,0
1652796529332,4,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-7,text,true,,153,180,1,1,http://localhost:8080/v1/user/7,4,0,0
1652796529336,1,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-7,text,true,,159,179,1,1,http://localhost:8080/v1/pet/7,1,0,0
1652796529338,1,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-7,text,true,,159,187,1,1,http://localhost:8080/v1/store/order/7,1,0,0
1652796529342,5,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-8,text,true,,153,180,1,1,http://localhost:8080/v1/user/8,5,0,0
1652796529347,2,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-8,text,true,,159,179,1,1,http://localhost:8080/v1/pet/8,2,0,0
