timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1652277499897,9,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-1,text,true,,153,180,1,1,http://localhost:8080/v1/user/1,9,0,1
1652277499907,2,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-2,text,true,,153,180,2,2,http://localhost:8080/v1/user/2,2,0,0
1652277499909,3,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-2,text,true,,159,179,2,2,http://localhost:8080/v1/pet/2,3,0,0
1652277499906,6,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-1,text,true,,159,179,2,2,http://localhost:8080/v1/pet/1,6,0,0
1652277499913,5,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-1,text,true,,159,187,3,3,http://localhost:8080/v1/store/order/1,5,0,0
1652277499913,5,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-2,text,true,,159,187,3,3,http://localhost:8080/v1/store/order/2,5,0,0
1652277499917,1,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-3,text,true,,153,180,3,3,http://localhost:8080/v1/user/3,1,0,0
1652277499918,2,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-3,text,true,,159,179,1,1,http://localhost:8080/v1/pet/3,2,0,0
1652277499920,2,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-3,text,true,,159,187,1,1,http://localhost:8080/v1/store/order/3,2,0,0
1652277499927,2,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-4,text,true,,153,180,1,1,http://localhost:8080/v1/user/4,2,0,1
1652277499929,1,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-4,text,true,,159,179,1,1,http://localhost:8080/v1/pet/4,1,0,0
1652277499930,1,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-4,text,true,,159,187,1,1,http://localhost:8080/v1/store/order/4,1,0,0
1652277499937,2,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-5,text,true,,153,180,1,1,http://localhost:8080/v1/user/5,2,0,1
1652277499939,1,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-5,text,true,,159,179,1,1,http://localhost:8080/v1/pet/5,1,0,0
1652277499940,2,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-5,text,true,,159,187,1,1,http://localhost:8080/v1/store/order/5,2,0,0
1652277499948,1,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-6,text,true,,153,180,1,1,http://localhost:8080/v1/user/6,1,0,0
1652277499949,1,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-6,text,true,,159,179,1,1,http://localhost:8080/v1/pet/6,1,0,0
1652277499950,2,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-6,text,true,,159,187,1,1,http://localhost:8080/v1/store/order/6,2,0,0
1652277499958,1,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-7,text,true,,153,180,1,1,http://localhost:8080/v1/user/7,1,0,0
1652277499959,2,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-7,text,true,,159,179,1,1,http://localhost:8080/v1/pet/7,2,0,0
1652277499961,1,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-7,text,true,,159,187,1,1,http://localhost:8080/v1/store/order/7,1,0,0
1652277499968,1,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-8,text,true,,153,180,1,1,http://localhost:8080/v1/user/8,1,0,0
1652277499969,1,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-8,text,true,,159,179,1,1,http://localhost:8080/v1/pet/8,1,0,0
1652277499970,2,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-8,text,true,,159,187,1,1,http://localhost:8080/v1/store/order/8,2,0,0
1652277499978,1,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-9,text,true,,153,180,1,1,http://localhost:8080/v1/user/9,1,0,0
1652277499979,1,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-9,text,true,,159,179,1,1,http://localhost:8080/v1/pet/9,1,0,0
1652277499981,1,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-9,text,true,,159,187,1,1,http://localhost:8080/v1/store/order/9,1,0,0
1652277499988,1,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-10,text,true,,154,181,1,1,http://localhost:8080/v1/user/10,1,0,0
1652277499989,1,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-10,text,true,,159,180,1,1,http://localhost:8080/v1/pet/10,1,0,0
1652277499990,2,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-10,text,true,,159,188,1,1,http://localhost:8080/v1/store/order/10,2,0,0
1652277499998,1,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-11,text,true,,154,181,1,1,http://localhost:8080/v1/user/11,1,0,0
1652277499999,2,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-11,text,true,,159,180,1,1,http://localhost:8080/v1/pet/11,2,0,0
1652277500001,1,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-11,text,true,,159,188,1,1,http://localhost:8080/v1/store/order/11,1,0,0
1652277500007,1,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-12,text,true,,154,181,1,1,http://localhost:8080/v1/user/12,1,0,0
1652277500008,2,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-12,text,true,,159,180,1,1,http://localhost:8080/v1/pet/12,2,0,0
1652277500010,2,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-12,text,true,,159,188,1,1,http://localhost:8080/v1/store/order/12,2,0,0
1652277500017,1,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-13,text,true,,154,181,1,1,http://localhost:8080/v1/user/13,1,0,0
