timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1654688641745,6,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-2,text,true,,153,180,2,2,http://localhost:8080/v1/user/2,6,0,0
1654688641735,16,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-1,text,true,,153,180,2,2,http://localhost:8080/v1/user/1,16,0,1
1654688641755,1,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-3,text,true,,153,180,3,3,http://localhost:8080/v1/user/3,1,0,0
1654688641751,6,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-1,text,true,,159,179,3,3,http://localhost:8080/v1/pet/1,6,0,0
1654688641751,6,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-2,text,true,,159,179,3,3,http://localhost:8080/v1/pet/2,6,0,0
1654688641756,2,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-3,text,true,,159,179,3,3,http://localhost:8080/v1/pet/3,2,0,0
1654688641757,6,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-2,text,true,,159,187,3,3,http://localhost:8080/v1/store/order/2,6,0,0
1654688641758,5,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-3,text,true,,159,187,3,3,http://localhost:8080/v1/store/order/3,5,0,0
1654688641757,6,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-1,text,true,,159,187,3,3,http://localhost:8080/v1/store/order/1,6,0,0
1654688641765,1,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-4,text,true,,153,180,1,1,http://localhost:8080/v1/user/4,1,0,0
1654688641766,2,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-4,text,true,,159,179,1,1,http://localhost:8080/v1/pet/4,2,0,0
1654688641768,1,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-4,text,true,,159,187,1,1,http://localhost:8080/v1/store/order/4,1,0,0
1654688641775,1,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-5,text,true,,153,180,1,1,http://localhost:8080/v1/user/5,1,0,0
1654688641776,2,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-5,text,true,,159,179,1,1,http://localhost:8080/v1/pet/5,2,0,0
