zone,time_elapsed,power_j,watts,watts_since_last,start_power,prev_power,prev_power_reading,temp
package-0,0.000406148,0.0,0.0,0.0,914.170389,0.0,914.170389,27.799999237060547
dram,0.000556833,0.0,0.0,0.0,173.224104,0.0,173.224104,27.799999237060547
core,0.000676556,0.005188000000032389,19.59754766243107,0.0,323.460719,0.0,323.465907,27.799999237060547
uncore,0.000776314,0.0,0.0,0.0,0.672849,0.0,0.672849,27.799999237060547
package-0,1.001593137,2.0610299999999597,2.058782322340762,2.059326887240367,914.170389,0.0,916.231419,27.799999237060547
dram,1.00207914,0.4531240000000025,0.4526298409185499,0.4527495652435566,173.224104,0.0,173.677228,27.799999237060547
core,1.002470762,0.46899300000001176,0.468481534815895,0.4634217390996223,323.460719,0.005188000000032389,323.929712,27.799999237060547
uncore,1.002852078,0.0,0.0,0.0,0.672849,0.0,0.672849,27.799999237060547
package-0,2.00353096,4.20817999999997,2.100908539574885,2.142999222662636,914.170389,2.0610299999999597,918.378569,27.799999237060547
dram,2.003964951,0.9144879999999773,0.45655263048128253,0.4604721111074985,173.224104,0.4531240000000025,174.138592,27.799999237060547
core,2.004349334,1.0220310000000268,0.5102428260222545,0.5519688909032555,323.460719,0.46899300000001176,324.48275,27.799999237060547
uncore,2.004727136,0.0,0.0,0.0,0.672849,0.0,0.672849,27.799999237060547
package-0,3.005586594,5.957626000000005,1.982515528581768,1.7458573866500606,914.170389,4.20817999999997,920.128015,27.799999237060547
dram,3.00605345,1.3602869999999996,0.4526618657881351,0.4448845389404611,173.224104,0.9144879999999773,174.584391,27.799999237060547
core,3.006443867,1.1854830000000334,0.39449244654997884,0.1631167132696474,323.460719,1.0220310000000268,324.646202,27.799999237060547
uncore,3.006824243,0.0,0.0,0.0,0.672849,0.0,0.672849,27.799999237060547
package-0,4.007709012,8.191750999999954,2.044264931121747,2.2294377698378223,914.170389,5.957626000000005,922.36214,27.799999237060547
dram,4.00817959,1.8220169999999882,0.45468733815366813,0.4607612830379749,173.224104,1.3602869999999996,175.046121,27.799999237060547
core,4.008602204,1.8259840000000054,0.45567730952630814,0.6391572186063291,323.460719,1.1854830000000334,325.286703,27.799999237060547
uncore,4.009018038,0.0,0.0,0.0,0.672849,0.0,0.672849,27.799999237060547
package-0,5.009916193,9.90591900000004,1.9774689458220887,1.7103942357597386,914.170389,8.191750999999954,924.076308,27.799999237060547
dram,5.010320872,2.2640329999999835,0.4519575568724487,0.4410428957450674,173.224104,1.8220169999999882,175.488137,27.799999237060547
core,5.011181314,1.9499460000000113,0.389257943763724,0.12368909596565107,323.460719,1.8259840000000054,325.410665,27.799999237060547
uncore,5.011522342,0.0,0.0,0.0,0.672849,0.0,0.672849,27.799999237060547
package-0,6.012379753,12.111723999999981,2.0146321566829672,2.200335684996808,914.170389,9.90591900000004,926.282113,27.799999237060547
dram,6.012814299,2.7377249999999833,0.4553859401976838,0.4725174760677101,173.224104,2.2640329999999835,175.961829,27.799999237060547
core,6.013200594,2.5456480000000283,0.4234363597119409,0.5942249510831833,323.460719,1.9499460000000113,326.006367,27.799999237060547
uncore,6.013579731,0.008911000000000002,0.001482232186615378,0.008888905088621652,0.672849,0.0,0.68176,27.799999237060547
package-0,7.014402185,13.811243999999988,1.9691102797046698,1.6960043948899493,914.170389,12.111723999999981,927.981633,27.799999237060547
dram,7.014787225,3.1796190000000024,0.4533277710859567,0.440979903781967,173.224104,2.7377249999999833,176.403723,27.799999237060547
core,7.015132193,2.652703000000031,0.37820378427196577,0.10683354741041419,323.460719,2.5456480000000283,326.113422,27.799999237060547
uncore,7.01546935,0.008911000000000002,0.0012704678667937756,0.0,0.672849,0.008911000000000002,0.68176,27.799999237060547
package-0,8.016277042,16.051777000000016,2.002522942246452,2.2364507416043056,914.170389,13.811243999999988,930.222166,27.799999237060547
dram,8.016711638,3.646780999999976,0.4549504156361257,0.4663108293202012,173.224104,3.1796190000000024,176.870885,27.799999237060547
core,8.01712965,3.2905190000000175,0.41050531597827966,0.6366538971785036,323.460719,2.652703000000031,326.751238,27.799999237060547
uncore,8.017510418,0.017150999999999916,0.0021396553778730352,0.008224986693264083,0.672849,0.008911000000000002,0.69,27.799999237060547
package-0,9.018291099,17.76124600000003,1.9695972755246227,1.7061802318200052,914.170389,16.051777000000016,931.931635,27.799999237060547
dram,9.018727117,4.088978999999995,0.4534390153752374,0.4413472757624557,173.224104,3.646780999999976,177.313083,27.799999237060547
core,9.019116409,3.40856100000002,0.3779854442114879,0.11781490446711819,323.460719,3.2905190000000175,326.86928,27.799999237060547
uncore,9.019499107,0.017150999999999916,0.0019019252856766122,0.0,0.672849,0.017150999999999916,0.69,27.799999237060547
package-0,10.020358258,19.904855999999995,1.986540976636795,2.1390061059298566,914.170389,17.76124600000003,934.075245,27.799999237060547
dram,10.020806567,4.557727999999997,0.4548695771707599,0.4677422540240693,173.224104,4.088978999999995,177.781832,27.799999237060547
core,10.021595704,3.9487819999999942,0.3940956543873408,0.5390607515133329,323.460719,3.40856100000002,327.409501,27.799999237060547
uncore,10.022074212,0.02545199999999992,0.002540156077359191,0.008283171698827687,0.672849,0.017150999999999916,0.698301,27.799999237060547
package-0,11.022946438,21.647160999999983,1.9639168831662666,1.7378113708329106,914.170389,19.904855999999995,935.81755,27.799999237060547
dram,11.023380334,5.0015129999999886,0.45375723043199745,0.4426404212839161,173.224104,4.557727999999997,178.225617,27.799999237060547
core,11.023766419,4.1033219999999915,0.37226975642984134,0.15414142142077025,323.460719,3.9487819999999942,327.564041,27.799999237060547
uncore,11.024145249,0.02545199999999992,0.002309107069991658,0.0,0.672849,0.02545199999999992,0.698301,27.799999237060547
package-0,12.025007891,23.80426,1.9796452406746263,2.152652820453234,914.170389,21.647160999999983,937.974649,27.799999237060547
dram,12.025443157,5.468552999999986,0.4547839302640335,0.4660773442778773,173.224104,5.0015129999999886,178.692657,27.799999237060547
core,12.025936716,4.656543999999997,0.3872544312485236,0.5520817072544103,323.460719,4.1033219999999915,328.117263,27.799999237060547
uncore,12.026340842,0.03326399999999996,0.0027663501947046746,0.007795898024791919,0.672849,0.02545199999999992,0.706113,27.799999237060547
package-0,13.027203735,25.505854999999997,1.9579674678923353,1.6978730720642488,914.170389,23.80426,939.676244,27.799999237060547
dram,13.027634846,5.9104469999999765,0.45371789915303,0.44092743767273906,173.224104,5.468552999999986,179.134551,27.799999237060547
core,13.028020767,4.764087000000018,0.36571710143450703,0.1073077693511332,323.460719,4.656543999999997,328.224806,27.799999237060547
