timeStamp,elapsed,label,success,bytes,sentBytes,grpThreads,allThreads,Latency
1650895623054,9,[USER] DELETE USER [ITERATE 1000],true,153,182,1,1,9
1650895623064,2,[USER] DELETE USER [ITERATE 1000],true,153,182,2,2,2
1650895623063,6,[PET] DELETE PET [ITERATE 1000],true,159,181,2,2,6
1650895623066,3,[PET] DELETE PET [ITERATE 1000],true,159,181,2,2,3
1650895623074,1,[USER] DELETE USER [ITERATE 1000],true,153,182,3,3,1
1650895623069,7,[STORE] DELETE ORDER [ITERATE 1000],true,159,189,3,3,7
1650895623069,7,[STORE] DELETE ORDER [ITERATE 1000],true,159,189,2,2,7
1650895623076,1,[PET] DELETE PET [ITERATE 1000],true,159,181,1,1,1
1650895623077,2,[STORE] DELETE ORDER [ITERATE 1000],true,159,189,1,1,2
1650895623084,1,[USER] DELETE USER [ITERATE 1000],true,153,182,1,1,1
1650895623085,2,[PET] DELETE PET [ITERATE 1000],true,159,181,1,1,2
1650895623087,2,[STORE] DELETE ORDER [ITERATE 1000],true,159,189,1,1,2
1650895623094,1,[USER] DELETE USER [ITERATE 1000],true,153,182,1,1,1
1650895623096,1,[PET] DELETE PET [ITERATE 1000],true,159,181,1,1,1
1650895623097,2,[STORE] DELETE ORDER [ITERATE 1000],true,159,189,1,1,2
1650895623104,1,[USER] DELETE USER [ITERATE 1000],true,153,182,1,1,1
1650895623105,2,[PET] DELETE PET [ITERATE 1000],true,159,181,1,1,2
1650895623107,2,[STORE] DELETE ORDER [ITERATE 1000],true,159,189,1,1,2
1650895623114,2,[USER] DELETE USER [ITERATE 1000],true,153,182,1,1,2
1650895623116,1,[PET] DELETE PET [ITERATE 1000],true,159,181,1,1,1
1650895623117,2,[STORE] DELETE ORDER [ITERATE 1000],true,159,189,1,1,2
1650895623124,2,[USER] DELETE USER [ITERATE 1000],true,153,182,1,1,2
1650895623126,1,[PET] DELETE PET [ITERATE 1000],true,159,181,1,1,1
1650895623127,2,[STORE] DELETE ORDER [ITERATE 1000],true,159,189,1,1,2
1650895623135,1,[USER] DELETE USER [ITERATE 1000],true,153,182,1,1,1
1650895623136,1,[PET] DELETE PET [ITERATE 1000],true,159,181,1,1,1
1650895623138,1,[STORE] DELETE ORDER [ITERATE 1000],true,159,189,1,1,1
1650895623145,1,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,1
1650895623146,1,[PET] DELETE PET [ITERATE 1000],true,159,182,1,1,1
1650895623147,2,[STORE] DELETE ORDER [ITERATE 1000],true,159,190,1,1,2
1650895623154,1,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,1
1650895623155,1,[PET] DELETE PET [ITERATE 1000],true,159,182,1,1,1
1650895623156,2,[STORE] DELETE ORDER [ITERATE 1000],true,159,190,1,1,2
1650895623164,1,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,1
1650895623165,2,[PET] DELETE PET [ITERATE 1000],true,159,182,1,1,2
1650895623167,2,[STORE] DELETE ORDER [ITERATE 1000],true,159,190,1,1,2
1650895623174,2,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,2
1650895623176,2,[PET] DELETE PET [ITERATE 1000],true,159,182,1,1,2
1650895623178,1,[STORE] DELETE ORDER [ITERATE 1000],true,159,190,1,1,1
1650895623185,1,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,1
1650895623186,2,[PET] DELETE PET [ITERATE 1000],true,159,182,1,1,2
1650895623188,2,[STORE] DELETE ORDER [ITERATE 1000],true,159,190,1,1,2
1650895623195,1,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,1
1650895623197,1,[PET] DELETE PET [ITERATE 1000],true,159,182,1,1,1
1650895623198,2,[STORE] DELETE ORDER [ITERATE 1000],true,159,190,1,1,2
1650895623204,2,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,2
1650895623206,2,[PET] DELETE PET [ITERATE 1000],true,159,182,1,1,2
1650895623208,2,[STORE] DELETE ORDER [ITERATE 1000],true,159,190,1,1,2
1650895623214,2,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,2
1650895623216,3,[PET] DELETE PET [ITERATE 1000],true,159,182,1,1,3
1650895623219,2,[STORE] DELETE ORDER [ITERATE 1000],true,159,190,1,1,2
1650895623224,2,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,2
1650895623226,2,[PET] DELETE PET [ITERATE 1000],true,159,182,1,1,2
1650895623229,2,[STORE] DELETE ORDER [ITERATE 1000],true,159,190,1,1,2
