timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1652287827379,3272,[USER] POST USER [ITERATE 1000],200,OK,setUp Thread Group 1-3,text,true,,140,374,100,100,http://localhost:8080/v1/user,3269,0,23
1652287827738,2914,[USER] POST USER [ITERATE 1000],200,OK,setUp Thread Group 1-51,text,true,,140,376,100,100,http://localhost:8080/v1/user,2912,0,0
1652287828167,2485,[USER] POST USER [ITERATE 1000],200,OK,setUp Thread Group 1-94,text,true,,140,376,100,100,http://localhost:8080/v1/user,2481,0,1
1652287827849,2803,[USER] POST USER [ITERATE 1000],200,OK,setUp Thread Group 1-62,text,true,,140,376,100,100,http://localhost:8080/v1/user,2801,0,1
1652287827838,2814,[USER] POST USER [ITERATE 1000],200,OK,setUp Thread Group 1-61,text,true,,140,376,100,100,http://localhost:8080/v1/user,2806,0,0
1652287827718,2934,[USER] POST USER [ITERATE 1000],200,OK,setUp Thread Group 1-49,text,true,,140,376,100,100,http://localhost:8080/v1/user,2926,0,0
1652287827858,2794,[USER] POST USER [ITERATE 1000],200,OK,setUp Thread Group 1-63,text,true,,140,376,100,100,http://localhost:8080/v1/user,2785,0,0
1652287827607,3045,[USER] POST USER [ITERATE 1000],200,OK,setUp Thread Group 1-38,text,true,,140,376,100,100,http://localhost:8080/v1/user,3036,0,1
1652287827918,2734,[USER] POST USER [ITERATE 1000],200,OK,setUp Thread Group 1-69,text,true,,140,376,100,100,http://localhost:8080/v1/user,2725,0,0
1652287827627,3025,[USER] POST USER [ITERATE 1000],200,OK,setUp Thread Group 1-40,text,true,,140,376,100,100,http://localhost:8080/v1/user,3025,0,1
1652287827488,3164,[USER] POST USER [ITERATE 1000],200,OK,setUp Thread Group 1-26,text,true,,140,376,100,100,http://localhost:8080/v1/user,3155,0,0
1652287827677,2975,[USER] POST USER [ITERATE 1000],200,OK,setUp Thread Group 1-45,text,true,,140,376,100,100,http://localhost:8080/v1/user,2966,0,1
1652287828087,2565,[USER] POST USER [ITERATE 1000],200,OK,setUp Thread Group 1-86,text,true,,140,376,100,100,http://localhost:8080/v1/user,2556,0,0
1652287827382,3270,[USER] POST USER [ITERATE 1000],200,OK,setUp Thread Group 1-15,text,true,,140,376,100,100,http://localhost:8080/v1/user,3262,0,20
