timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1652814070409,23,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-1,text,true,,140,180,3,3,http://localhost:8080/v1/user/1,23,0,1
1652814070418,23,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-2,text,true,,140,180,4,4,http://localhost:8080/v1/user/2,23,0,1
1652814070432,23,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-1,text,true,,140,179,5,5,http://localhost:8080/v1/pet/1,23,0,0
1652814070429,45,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-3,text,true,,140,180,7,7,http://localhost:8080/v1/user/3,45,0,0
1652814070448,28,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-2,text,true,,140,179,7,7,http://localhost:8080/v1/pet/2,28,0,0
1652814070439,39,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-4,text,true,,140,180,7,7,http://localhost:8080/v1/user/4,39,0,0
1652814070459,22,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-6,text,true,,140,180,8,8,http://localhost:8080/v1/user/6,22,0,0
1652814070449,33,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-5,text,true,,140,180,8,8,http://localhost:8080/v1/user/5,33,0,0
1652814070455,31,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-1,text,true,,140,187,8,8,http://localhost:8080/v1/store/order/1,31,0,0
1652814070474,28,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-3,text,true,,140,179,9,9,http://localhost:8080/v1/pet/3,28,0,0
1652814070478,28,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-4,text,true,,140,179,9,9,http://localhost:8080/v1/pet/4,28,0,0
1652814070481,30,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-6,text,true,,140,179,10,10,http://localhost:8080/v1/pet/6,30,0,0
1652814070469,45,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-7,text,true,,140,180,10,10,http://localhost:8080/v1/user/7,45,0,0
1652814070489,33,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-9,text,true,,140,180,11,11,http://localhost:8080/v1/user/9,33,0,0
1652814070476,58,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-2,text,true,,140,187,12,12,http://localhost:8080/v1/store/order/2,58,0,0
1652814070479,69,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-8,text,true,,140,180,12,12,http://localhost:8080/v1/user/8,69,0,0
1652814070502,48,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-3,text,true,,140,187,12,12,http://localhost:8080/v1/store/order/3,48,0,0
1652814070506,51,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-4,text,true,,140,187,12,12,http://localhost:8080/v1/store/order/4,51,0,0
1652814070482,75,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-5,text,true,,140,179,12,12,http://localhost:8080/v1/pet/5,75,0,0
1652814070500,58,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-10,text,true,,141,181,11,11,http://localhost:8080/v1/user/10,58,0,0
1652814070522,36,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-9,text,true,,140,179,11,11,http://localhost:8080/v1/pet/9,36,0,0
1652814070511,56,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-6,text,true,,140,187,12,12,http://localhost:8080/v1/store/order/6,56,0,0
1652814070522,45,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-12,text,true,,141,181,11,11,http://localhost:8080/v1/user/12,45,0,0
1652814070514,56,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-7,text,true,,140,179,11,11,http://localhost:8080/v1/pet/7,56,0,0
