timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1652295039631,27,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-1,text,true,,140,180,3,3,http://localhost:8080/v1/user/1,27,0,2
1652295039641,31,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-2,text,true,,140,180,5,5,http://localhost:8080/v1/user/2,31,0,1
1652295039652,37,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-3,text,true,,140,180,6,6,http://localhost:8080/v1/user/3,37,0,0
1652295039658,33,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-1,text,true,,140,179,6,6,http://localhost:8080/v1/pet/1,33,0,0
1652295039662,31,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-4,text,true,,140,180,7,7,http://localhost:8080/v1/user/4,31,0,0
1652295039675,31,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-2,text,true,,140,179,8,8,http://localhost:8080/v1/pet/2,31,0,0
1652295039672,41,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-5,text,true,,140,180,8,8,http://localhost:8080/v1/user/5,41,0,0
1652295039691,34,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-1,text,true,,140,187,10,10,http://localhost:8080/v1/store/order/1,34,0,0
1652295039693,41,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-4,text,true,,140,179,10,10,http://localhost:8080/v1/pet/4,41,0,0
1652295039692,43,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-7,text,true,,140,180,10,10,http://localhost:8080/v1/user/7,43,0,0
1652295039682,54,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-6,text,true,,140,180,10,10,http://localhost:8080/v1/user/6,54,0,0
1652295039735,25,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-7,text,true,,140,179,11,11,http://localhost:8080/v1/pet/7,25,0,0
1652295039713,45,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-5,text,true,,140,179,11,11,http://localhost:8080/v1/pet/5,45,0,0
1652295039706,51,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-2,text,true,,140,187,11,11,http://localhost:8080/v1/store/order/2,51,0,0
1652295039725,40,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-10,text,true,,141,181,12,12,http://localhost:8080/v1/user/10,40,0,0
1652295039734,31,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-4,text,true,,140,187,12,12,http://localhost:8080/v1/store/order/4,31,0,0
1652295039733,34,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-11,text,true,,141,181,11,11,http://localhost:8080/v1/user/11,34,0,0
1652295039705,72,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-8,text,true,,140,180,12,12,http://localhost:8080/v1/user/8,72,0,0
1652295039736,44,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-6,text,true,,140,179,12,12,http://localhost:8080/v1/pet/6,44,0,0
1652295039762,28,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-7,text,true,,140,187,13,13,http://localhost:8080/v1/store/order/7,28,0,0
1652295039762,34,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-5,text,true,,140,187,13,13,http://localhost:8080/v1/store/order/5,34,0,0
1652295039761,36,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-13,text,true,,141,181,12,12,http://localhost:8080/v1/user/13,36,0,0
1652295039761,37,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-12,text,true,,141,181,12,12,http://localhost:8080/v1/user/12,37,0,0
1652295039767,34,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-11,text,true,,140,180,12,12,http://localhost:8080/v1/pet/11,34,0,0
1652295039763,40,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-14,text,true,,141,181,13,13,http://localhost:8080/v1/user/14,40,0,1
1652295039713,90,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-9,text,true,,140,180,13,13,http://localhost:8080/v1/user/9,90,0,0
1652295039689,114,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-3,text,true,,140,179,13,13,http://localhost:8080/v1/pet/3,114,0,0
1652295039765,40,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-10,text,true,,140,180,13,13,http://localhost:8080/v1/pet/10,40,0,0
