timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1652822840344,18,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-1,text,true,,140,180,2,2,http://localhost:8080/v1/user/1,18,0,1
1652822840354,20,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-2,text,true,,140,180,4,4,http://localhost:8080/v1/user/2,20,0,0
1652822840362,19,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-1,text,true,,140,179,4,4,http://localhost:8080/v1/pet/1,19,0,0
1652822840364,19,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-3,text,true,,140,180,4,4,http://localhost:8080/v1/user/3,19,0,0
1652822840374,24,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-4,text,true,,140,180,6,6,http://localhost:8080/v1/user/4,24,0,0
1652822840375,26,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-2,text,true,,140,179,6,6,http://localhost:8080/v1/pet/2,26,0,0
1652822840384,19,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-5,text,true,,140,180,6,6,http://localhost:8080/v1/user/5,19,0,0
1652822840382,24,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-1,text,true,,140,187,7,7,http://localhost:8080/v1/store/order/1,24,0,0
1652822840384,30,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-3,text,true,,140,179,6,6,http://localhost:8080/v1/pet/3,30,0,0
1652822840394,28,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-6,text,true,,140,180,7,7,http://localhost:8080/v1/user/6,28,0,1
1652822840398,25,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-4,text,true,,140,179,7,7,http://localhost:8080/v1/pet/4,25,0,0
1652822840403,25,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-5,text,true,,140,179,8,8,http://localhost:8080/v1/pet/5,25,0,0
1652822840406,23,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-7,text,true,,140,180,8,8,http://localhost:8080/v1/user/7,23,0,0
1652822840401,29,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-2,text,true,,140,187,8,8,http://localhost:8080/v1/store/order/2,29,0,0
1652822840422,23,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-6,text,true,,140,179,9,9,http://localhost:8080/v1/pet/6,23,0,0
1652822840414,42,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-8,text,true,,140,180,10,10,http://localhost:8080/v1/user/8,42,0,0
1652822840428,28,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-5,text,true,,140,187,10,10,http://localhost:8080/v1/store/order/5,28,0,0
1652822840414,44,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-3,text,true,,140,187,9,9,http://localhost:8080/v1/store/order/3,44,0,0
1652822840423,39,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-4,text,true,,140,187,8,8,http://localhost:8080/v1/store/order/4,39,0,0
1652822840426,40,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-9,text,true,,140,180,8,8,http://localhost:8080/v1/user/9,40,0,1
1652822840434,38,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-10,text,true,,141,181,8,8,http://localhost:8080/v1/user/10,38,0,0
1652822840429,45,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-7,text,true,,140,179,9,9,http://localhost:8080/v1/pet/7,45,0,0
1652822840456,24,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-8,text,true,,140,179,9,9,http://localhost:8080/v1/pet/8,24,0,0
1652822840444,38,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-11,text,true,,141,181,9,9,http://localhost:8080/v1/user/11,38,0,0
1652822840454,32,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-12,text,true,,141,181,10,10,http://localhost:8080/v1/user/12,32,0,0
1652822840445,41,[STORE] DELETE ORDER [ITERATE 1000],200,OK,tearDown Thread Group 1-6,text,true,,140,187,10,10,http://localhost:8080/v1/store/order/6,41,0,0
1652822840466,29,[USER] DELETE USER [ITERATE 1000],200,OK,tearDown Thread Group 1-13,text,true,,141,181,10,10,http://localhost:8080/v1/user/13,29,0,0
1652822840466,36,[PET] DELETE PET [ITERATE 1000],200,OK,tearDown Thread Group 1-9,text,true,,140,179,10,10,http://localhost:8080/v1/pet/9,36,0,0
